Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"10018(40.756840774582, -73.996691499813)",Commercial,3808435,401811,ConEd
"11102(40.771524024514, -73.926435450735)",Residential,1941012,204788,ConEd
"10471(40.901994423104, -73.903626500562)",Large Residential,56954,6009,ConEd
"11362(40.759074216602, -73.734300177111)",Commercial,647115,68274,ConEd
"11373(40.738710402563, -73.878351155182)",Small residential,10736218,1132731,National Grid
"10011(40.744715266696, -74.00460000029)",Commercial,1970,208,ConEd
"10029(40.791610720558, -73.944032281065)",Commercial,14817079,1563285,ConEd
"11378(40.721453104977, -73.908543500682)",Small residential,7366479,777205,National Grid
"11210(40.627722263871, -73.946537919989)",Large residential,6310191,665760,National Grid
"11232(40.654511617018, -74.000033929122)",Large residential,2048639,216143,National Grid
"11356(40.784928096754, -73.841810700403)",Large Residential,11747,1239,ConEd
"11217(40.682312101322, -73.979567188575)",Institutional,769153,81150,National Grid
"11373(40.738710402563, -73.878351155182)",Large residential,9562956,1008945,National Grid
"10475(40.874142343794, -73.827068565562)",Residential,359517,37931,ConEd
"11235(40.578414108824, -73.940260000099)",Industrial,44596,4705,National Grid
"11378(40.721453104977, -73.908543500682)",Institutional,3127131,329930,National Grid
"11225(40.663170058551, -73.953701109119)",Industrial,567743,59900,National Grid
"10020(40.759498513146, -73.980074397216)",Commercial,263276,27777,ConEd
"11379(40.71679766548, -73.879334213103)",Institutional,337862,35646,National Grid
"10305(40.596184688173, -74.075072384883)",Industrial,1040978,109829,National Grid
"11436(40.675718209128, -73.796465014948)",Commercial,275889,29108,National Grid
"10014(40.733586451354, -74.010199604728)",Commercial,3569148,376565,ConEd
"10029(40.791610720558, -73.944032281065)",Residential,242271,25561,ConEd
"10471(40.901994423104, -73.903626500562)",Commercial,1183226,124837,ConEd
"10032(40.836930349056, -73.949178521971)",Residential,717065,75654,ConEd
"11211(40.711589765256, -73.958176750756)",Large residential,12471511,1315814,National Grid
"10303(40.633032309993, -74.16834884982)",Industrial,27422,2893,National Grid
"11106(40.761699790013, -73.931663252957)",Residential,350151,36943,ConEd
"11423(40.717222295672, -73.76714149998)",Large residential,1922380,202822,National Grid
"11234(40.61636866748, -73.927732249743)",Large residential,5240504,552903,National Grid
"10304(40.591229442585, -74.111328000087)",Small residential,8802763,928741,National Grid
"11213(40.671225169206, -73.936443366368)",Commercial,1724052,181897,National Grid
"11354(40.768620220647, -73.827190280707)",Small residential,2080,219,National Grid
"11221(40.691288039511, -73.927617927925)",Small residential,10226769,1078981,National Grid
"10024(40.783625568166, -73.966539000574)",Commercial,5356180,565107,ConEd
"11105(40.780092072491, -73.90960650024)",Residential,403403,42561,ConEd
"11226(40.646505002304, -73.957190099144)",Large residential,19482081,2055469,National Grid
"10075(40.772939491764, -73.956090162631)",Commercial,,,ConEd
"11368(40.749678220374, -73.853040688577)",Commercial,4130867,435830,National Grid
"11364(40.74592468038, -73.757902755608)",Large Residential,1201058,126718,ConEd
"11367(40.730323085042, -73.82610630716)",Residential,321417,33911,ConEd
"10004(40.688827825344, -74.019112505837)",Residential,54549,5755,ConEd
"10036(40.759346827194, -73.989860554421)",Commercial,7837223,826871,ConEd
"11040(40.745299961824, -73.679631932268)",Commercial,1051227,110910,ConEd
"11224(40.576304656335, -73.999532000401)",Commercial,2484705,262150,National Grid
"11201(40.694678258795, -73.989920868353)",Large residential,18973029,2001761,National Grid
"10308(40.552935295428, -74.151302759814)",Institutional,98774,10421,National Grid
"11362(40.759074216602, -73.734300177111)",Residential,85444,9015,ConEd
"11434(40.676945262114, -73.775306901692)",Small residential,10076855,1063165,National Grid
"11361(40.764188848137, -73.7723255286)",Large Residential,446965,47157,ConEd
"11360(40.780701334399, -73.782267336868)",Commercial,486382,51316,ConEd
"11214(40.604011809897, -74.000969000119)",Small residential,12807919,1351307,National Grid
"11413(40.669711181226, -73.750873933285)",Large residential,112283,11846,National Grid
"11415(40.708286075142, -73.828556121568)",Institutional,580482,61244,National Grid
"10005(40.706125792072, -74.008584685835)",Commercial,1419854,149803,ConEd
"10024(40.783625568166, -73.966539000574)",Large Residential,215638,22751,ConEd
"11413(40.669711181226, -73.750873933285)",Small residential,10114455,1067132,National Grid
"10469(40.868181802748, -73.846568687795)",Commercial,2237093,236026,ConEd
"11372(40.751630739367, -73.883612545283)",Small residential,3273710,345395,National Grid
"11694(40.576578305644, -73.850777000558)",Large residential,1573127,165974,National Grid
"11361(40.764188848137, -73.7723255286)",Residential,4283479,451931,ConEd
"10069(40.778254000322, -73.988541999913)",Commercial,2123051,223994,ConEd
"10019(40.76761164716, -73.991805500224)",Large Residential,1239760,130802,ConEd
"11365(40.739871843711, -73.794621535156)",Large residential,4277,451,National Grid
"10475(40.874142343794, -73.827068565562)",Large Residential,16694182,1761330,ConEd
"10075(40.772939491764, -73.956090162631)",Large Residential,73358,7740,ConEd
"10312(40.542955977337, -74.180376817236)",Large residential,3034,320,National Grid
"10309(40.530393118348, -74.218938614326)",Commercial,1195656,126148,National Grid
"11377(40.745193764481, -73.90484714408)",Large Residential,91130,9615,ConEd
"11229(40.601233507321, -73.944368541175)",Commercial,1993920,210370,National Grid
"11365(40.739871843711, -73.794621535156)",Commercial,963,102,National Grid
"11232(40.654511617018, -74.000033929122)",Industrial,13048581,1376698,National Grid
"10009(40.726649358981, -73.979111485007)",Large Residential,44314,4675,ConEd
"11241(40.693288999588, -73.990626999836)",Small residential,947,100,National Grid
"11004(40.743237834359, -73.712015000192)",Residential,1358168,143294,ConEd
"10023(40.774536138232, -73.979943356101)",Residential,3911782,412715,ConEd
"11241(40.693288999588, -73.990626999836)",Commercial,184,19,National Grid
"11385(40.701224891615, -73.88334858437)",Institutional,1245917,131451,National Grid
"11365(40.739871843711, -73.794621535156)",Residential,4511563,475995,ConEd
"11212(40.662797169953, -73.912984894337)",Industrial,3623309,382279,National Grid
"11234(40.61636866748, -73.927732249743)",Small residential,22219097,2344239,National Grid
"10452(40.837724263364, -73.923332211412)",Residential,786394,82969,ConEd
"11105(40.780092072491, -73.90960650024)",Residential,3098073,326864,ConEd
"11237(40.704095739827, -73.920994233997)",Small residential,3804248,401369,National Grid
"11419(40.688713790409, -73.822888330532)",Small residential,8591091,906408,National Grid
"10306(40.566020489654, -74.119945669057)",Large residential,1744540,184059,National Grid
"11436(40.675718209128, -73.796465014948)",Institutional,220564,23271,National Grid
"10025(40.796850127631, -73.963725810598)",Residential,3408769,359644,ConEd
"11365(40.739871843711, -73.794621535156)",Commercial,5329748,562318,ConEd
"10455(40.813535754971, -73.905355252043)",Commercial,4937392,520923,ConEd
"11436(40.675718209128, -73.796465014948)",Small residential,4012282,423318,National Grid
"11377(40.745193764481, -73.90484714408)",Commercial,311084,32821,ConEd
"10473(40.817731470931, -73.860537000082)",Commercial,8638721,911433,ConEd
"10309(40.530393118348, -74.218938614326)",Institutional,579303,61120,National Grid
"10033(40.856219929206, -73.945859000193)",Commercial,3904,412,ConEd
"11435(40.701192649122, -73.809796655791)",Residential,427854,45141,ConEd
"11366(40.728164407262, -73.792268173937)",Residential,154642,16316,ConEd
"10033(40.856219929206, -73.945859000193)",Large Residential,90934,9594,ConEd
"11432(40.71311535449, -73.792820999789)",Large residential,6817221,719255,National Grid
"10021(40.769205327664, -73.959183941086)",Large Residential,180776,19073,ConEd
"11418(40.696370412365, -73.840310249918)",Industrial,1146988,121014,National Grid
"10128(40.781770000585, -73.95062814907)",Large Residential,220365,23250,ConEd
"10032(40.836930349056, -73.949178521971)",Commercial,1952524,206002,ConEd
"11374(40.726464917022, -73.861480847563)",Large residential,9176417,968163,National Grid
"10040(40.858095531883, -73.929255489949)",Residential,445116,46962,ConEd
"10307(40.508004527487, -74.242114281948)",Small residential,3667832,386977,National Grid
"11210(40.627722263871, -73.946537919989)",Small residential,11755834,1240306,National Grid
"11375(40.72070726303, -73.846284296083)",Small residential,7403805,781143,National Grid
"11001(40.721390004945, -73.707396928425)",Residential,53094,5602,ConEd
"10003(40.731943947555, -73.98887214913)",Commercial,8855716,934328,ConEd
"11428(40.721396964798, -73.741937297268)",Commercial,19477,2055,ConEd
"10019(40.76761164716, -73.991805500224)",Residential,124706,13157,ConEd
"10456(40.830436680009, -73.907765199504)",Large Residential,161363,17025,ConEd
"10282(40.719614557066, -74.014649282938)",Commercial,508119,53609,ConEd
"11223(40.596939623165, -73.973311472047)",Large residential,7349231,775385,National Grid
"11427(40.729310574324, -73.750676021281)",Residential,77967,8226,ConEd
"11104(40.744893366636, -73.920541345307)",Large Residential,226694,23917,ConEd
"11212(40.662797169953, -73.912984894337)",Large residential,25048890,2642798,National Grid
"10304(40.591229442585, -74.111328000087)",Institutional,606346,63973,National Grid
"10303(40.633032309993, -74.16834884982)",Institutional,163704,17272,National Grid
"11001(40.721390004945, -73.707396928425)",Commercial,79704,8409,ConEd
"10075(40.772939491764, -73.956090162631)",Commercial,1145955,120905,ConEd
"10455(40.813535754971, -73.905355252043)",Large Residential,51911,5477,ConEd
"11206(40.701912016826, -73.942379198541)",Industrial,593089,62574,National Grid
"11101(40.745702449808, -73.938669029252)",Residential,1144993,120803,ConEd
"11233(40.678130438169, -73.919776475504)",Institutional,1165816,123000,National Grid
"11226(40.646505002304, -73.957190099144)",Small residential,6406707,675943,National Grid
"11215(40.665557251366, -73.979681535574)",Institutional,675011,71217,National Grid
"10471(40.901994423104, -73.903626500562)",Commercial,6866,724,ConEd
"11414(40.658170228174, -73.844962639814)",Institutional,116362,12277,National Grid
"11236(40.640021493797, -73.901121939926)",Large residential,11489554,1212212,National Grid
"11416(40.684578097002, -73.849601668482)",Small residential,5019507,529586,National Grid
"11377(40.745193764481, -73.90484714408)",Small residential,7978253,841750,National Grid
"11210(40.627722263871, -73.946537919989)",Commercial,1224750,129218,National Grid
"11229(40.601233507321, -73.944368541175)",Institutional,447194,47181,National Grid
"11207(40.670802431187, -73.893841150049)",Large residential,18203649,1920587,National Grid
"11102(40.771524024514, -73.926435450735)",Commercial,1778170,187607,ConEd
"11219(40.632772955408, -73.996676811186)",Institutional,1076397,113566,National Grid
"11411(40.694293339066, -73.735683291251)",Small residential,5417452,571572,National Grid
"10305(40.596184688173, -74.075072384883)",Commercial,1902540,200729,National Grid
"10013(40.721242188776, -74.008889000227)",Commercial,7261765,766157,ConEd
"10309(40.530393118348, -74.218938614326)",Large residential,13184,1391,National Grid
"11377(40.745193764481, -73.90484714408)",Large residential,9466158,998733,National Grid
"10457(40.845798371298, -73.898324186812)",Residential,779330,82224,ConEd
"11427(40.729310574324, -73.750676021281)",Residential,1373653,144928,ConEd
"10005(40.706125792072, -74.008584685835)",Commercial,382037,40307,ConEd
"11369(40.763413273704, -73.872378898667)",Industrial,8824,931,National Grid
"11204(40.619055848049, -73.984798598876)",Institutional,892032,94114,National Grid
"10474(40.810882923108, -73.882356362356)",Residential,558002,58872,ConEd
"10470(40.900127971928, -73.87122775026)",Residential,1431048,150984,ConEd
"11421(40.691764587566, -73.85702228585)",Commercial,743600,78454,National Grid
"10301(40.626785508445, -74.096112910882)",Industrial,42909,4527,National Grid
"11364(40.74592468038, -73.757902755608)",Commercial,3008945,317461,ConEd
"10011(40.744715266696, -74.00460000029)",Residential,192654,20326,ConEd
"11369(40.763413273704, -73.872378898667)",Large residential,1688743,178172,National Grid
"10037(40.813297761083, -73.937282525568)",Large Residential,4228025,446080,ConEd
"10024(40.783625568166, -73.966539000574)",Commercial,1822842,192320,ConEd
"10005(40.706125792072, -74.008584685835)",Residential,265,28,ConEd
"11422(40.661613493968, -73.736051726406)",Industrial,13360,1410,National Grid
"10468(40.869693003729, -73.898926992487)",Commercial,3511905,370526,ConEd
"11411(40.694293339066, -73.735683291251)",Institutional,316866,33431,National Grid
"10031(40.824954205073, -73.950124436094)",Commercial,1901756,200646,ConEd
"11238(40.67886241347, -73.963820469639)",Small residential,5094432,537491,National Grid
"11434(40.676945262114, -73.775306901692)",Residential,,,ConEd
"11243(40.685030000035, -73.978075000161)",Large residential,201530,21263,National Grid
"11236(40.640021493797, -73.901121939926)",Institutional,839695,88593,National Grid
"10285(40.711871000346, -74.014402999998)",Commercial,41397,4368,ConEd
"11204(40.619055848049, -73.984798598876)",Commercial,1607460,169596,National Grid
"10302(40.630833311108, -74.137734298699)",Industrial,6464,682,National Grid
"10452(40.837724263364, -73.923332211412)",Large Residential,93786,9895,ConEd
"10282(40.719614557066, -74.014649282938)",Residential,33268,3510,ConEd
"11004(40.743237834359, -73.712015000192)",Residential,132722,14003,ConEd
"10018(40.756840774582, -73.996691499813)",Commercial,2082396,219704,ConEd
"11434(40.676945262114, -73.775306901692)",Commercial,,,ConEd
"10026(40.803058121635, -73.953342776048)",Residential,148829,15702,ConEd
"10465(40.827628067581, -73.822413141353)",Commercial,3489361,368147,ConEd
"10457(40.845798371298, -73.898324186812)",Large Residential,182574,19263,ConEd
"10303(40.633032309993, -74.16834884982)",Large residential,1519719,160339,National Grid
"11695(40.597608000209, -73.820967000027)",Commercial,29091,3069,National Grid
"11414(40.658170228174, -73.844962639814)",Industrial,4334,457,National Grid
"11218(40.64322700852, -73.976448622106)",Institutional,342884,36176,National Grid
"11228(40.616540714083, -74.013277847395)",Small residential,9926950,1047349,National Grid
"10017(40.752456527447, -73.97297648088)",Commercial,3708661,391284,ConEd
"11373(40.738710402563, -73.878351155182)",Institutional,2030783,214259,National Grid
"11415(40.708286075142, -73.828556121568)",Commercial,462,49,ConEd
"10465(40.827628067581, -73.822413141353)",Residential,315919,33331,ConEd
"10016(40.745242969987, -73.978232985864)",Residential,111236,11736,ConEd
"10128(40.781770000585, -73.95062814907)",Commercial,2051345,216428,ConEd
"11416(40.684578097002, -73.849601668482)",Institutional,277779,29307,National Grid
"10454(40.805846930092, -73.916285046518)",Large Residential,,,ConEd
"10464(40.875709096797, -73.812297250418)",Commercial,312764,32998,ConEd
"11432(40.71311535449, -73.792820999789)",Commercial,1277032,134734,ConEd
"10016(40.745242969987, -73.978232985864)",Residential,1501042,158368,ConEd
"11362(40.759074216602, -73.734300177111)",Commercial,2594439,273728,ConEd
"10466(40.890809730185, -73.846009063068)",Commercial,6931173,731278,ConEd
"10309(40.530393118348, -74.218938614326)",Industrial,1230604,129836,National Grid
"10128(40.781770000585, -73.95062814907)",Residential,2367827,249819,ConEd
"11207(40.670802431187, -73.893841150049)",Institutional,3278246,345873,National Grid
"10460(40.843090348041, -73.87860282506)",Residential,469613,49547,ConEd
"11233(40.678130438169, -73.919776475504)",Small residential,8291426,874792,National Grid
"11692(40.59313388562, -73.795402084638)",Large residential,983881,103805,National Grid
"10307(40.508004527487, -74.242114281948)",Large residential,21125,2229,National Grid
"11106(40.761699790013, -73.931663252957)",Commercial,4841650,510821,ConEd
"11362(40.759074216602, -73.734300177111)",Small residential,336,35,National Grid
"10473(40.817731470931, -73.860537000082)",Large Residential,13657,1441,ConEd
"10469(40.868181802748, -73.846568687795)",Residential,7945664,838312,ConEd
"11691(40.600614338481, -73.762567774683)",Large residential,7229588,762762,National Grid
"11231(40.677554311782, -74.004676704366)",Industrial,352339,37174,National Grid
"10028(40.776344978838, -73.952966679569)",Residential,1619890,170908,ConEd
"10453(40.852786838342, -73.913426784319)",Commercial,7851638,828392,ConEd
"11216(40.680758670876, -73.949267750906)",Large residential,6405467,675813,National Grid
"11219(40.632772955408, -73.996676811186)",Large residential,4862069,512976,National Grid
"10018(40.756840774582, -73.996691499813)",Commercial,,,ConEd
"11215(40.665557251366, -73.979681535574)",Small residential,9903140,1044837,National Grid
"10031(40.824954205073, -73.950124436094)",Residential,607749,64121,ConEd
"10031(40.824954205073, -73.950124436094)",Large Residential,1034833,109181,ConEd
"11238(40.67886241347, -73.963820469639)",Industrial,228912,24151,National Grid
"11377(40.745193764481, -73.90484714408)",Residential,74199,7828,ConEd
"10024(40.783625568166, -73.966539000574)",Residential,403600,42582,ConEd
"11435(40.701192649122, -73.809796655791)",Institutional,865115,91274,National Grid
"10029(40.791610720558, -73.944032281065)",Large Residential,10842289,1143922,ConEd
"11365(40.739871843711, -73.794621535156)",Large Residential,57283,6044,ConEd
"11434(40.676945262114, -73.775306901692)",Large residential,38846378,4098510,National Grid
"11221(40.691288039511, -73.927617927925)",Large residential,8523704,899299,National Grid
"10474(40.810882923108, -73.882356362356)",Commercial,3122702,329463,ConEd
