Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
30550,12/02/2014,7.11,16.5,6.34,90,50,2.08,0,0.004
31450,12/02/2014,7.46,15.8,6.25,89,48,2.03,0,0.003
31550,12/02/2014,7.46,15.7,6.27,90,53,2.07,0,0.007
33050,12/02/2014,7.43,16.3,6.16,87,47,2.28,0,0.005
33850,12/02/2014,7.36,15.6,6.19,88,48,2.21,0,0.005
36950,12/02/2014,7.5,15.3,6.17,88,47,2.06,0,0.004
39950,12/02/2014,7.37,15.6,6.13,88,48,2.19,0,0.006
40350,12/02/2014,7.5,16.1,6.25,87,48,2.01,0,0.005
46250,12/02/2014,7.38,15.3,6.45,86,51,2.04,0,0.006
47650,12/02/2014,7.69,16.2,6.92,93,53,2.1,0,0.003
53550,12/02/2014,7.12,15.5,6.36,88,51,2.05,0,0.004
59050,12/02/2014,7.05,16.1,6.23,86,48,2.35,0,0.004
77750,12/02/2014,7.4,15.5,6.6,87,52,2.08,0,0.006
79550,12/02/2014,7.3,15.9,6.29,89,51,2.15,0,0.004
53550,03/06/2018,7.24,14.4,6.08,91,42,2.18,0,0.005
30150,01/03/2018,7.38,17.3,6.26,95,42,2.09,0,0.004
52050,02/04/2015,7.56,16,6.25,92,40,2.11,1,0.009
47550,01/30/2015,7.27,,,90,42,2.08,0,0.014
50850,05/05/2015,7.2,16.4,7.34,113,55,2.22,0,0.005
20650,03/03/2015,7.2,15.6,6.63,90,37,2.08,0,0.004
31750,05/05/2015,7.44,17.7,7.18,115,53,2.02,0,0.005
22950,04/07/2015,7.28,16.2,6.98,98,42,2.1,0,0.006
31950,01/06/2015,7.24,15,6.33,87,41,1.94,0,0.005
45250,02/04/2015,7.37,15.6,6.12,90,39,2.18,0,0.01
20650,06/02/2015,7.34,16,6.68,101,62,2.04,0,0.005
31750,02/04/2015,7.4,15.8,6.41,92,39,2.04,0,0.005
31650,01/06/2015,7.56,16.5,6.48,91,42,1.95,0,0.003
51450,04/07/2015,7.07,15.9,6.93,100,42,2.27,0,0.007
11750,03/03/2015,7.3,16,6.67,91,37,2.17,0,0.004
38250,02/04/2015,7.26,16.5,6.11,91,38,2.03,0,0.007
57750,01/06/2015,7.31,15.9,6.72,92,43,2.12,0,0.004
47650,03/03/2015,7.56,16.7,6.84,96,38,2.07,0,0.003
21550,01/06/2015,7.43,16.1,6.39,87,42,2.08,0,0.005
40350,03/03/2015,7.44,16.5,6.63,91,40,2.34,0,0.005
31550,06/02/2015,7.46,48.8,19.5,350,58,2.23,0,0.011
36950,06/02/2015,7.57,16.6,6.54,104,55,1.98,0,0.016
53550,06/02/2015,7.33,15.7,6.76,103,60,2.11,0,0.004
57750,04/07/2015,7.19,16.9,7.34,100,47,2.04,0,0.005
50250,02/04/2015,7.43,15.6,6.06,91,37,2.27,3,0.03
77650,02/04/2015,7.42,15.9,6.25,91,38,2.09,0,0.006
47650,06/02/2015,7.41,16.8,7.31,107,62,2.18,0,0.005
44450,01/06/2015,7.33,15.5,6.46,89,44,2.14,0,0.009
78150,01/06/2015,7.31,13.5,6.45,88,41,2.18,0,0.004
33850,03/03/2015,7.49,16.4,6.54,92,37,2.08,0,0.005
30150,01/06/2015,7.6,16.3,6.48,91,42,2.18,0,0.003
33450,02/04/2015,7.23,16.5,6.45,92,39,2.06,0,0.005
77650,05/05/2015,7.25,16.7,7.34,114,54,2.22,0,0.008
24350,05/05/2015,7.25,16.5,7.19,113,53,1.99,0,0.005
45250,05/05/2015,7.28,16.2,7.24,113,54,2.12,0,0.008
20150,03/03/2015,7.25,15.7,6.7,90,37,2.11,0,0.004
44350,05/05/2015,7.22,16.3,7.23,112,53,2.12,0,0.006
18650,05/05/2015,7.25,16.1,7.15,112,53,2.18,0,0.01
23450,02/04/2015,7.26,15.6,6.43,90,37,2.09,0,0.004
15150,02/04/2015,7.44,16.5,6.42,92,36,2.12,0,0.004
50750,02/04/2015,7.48,16.4,6.54,93,40,2.18,0,0.003
37950,02/04/2015,7.65,16.5,6.29,92,38,1.91,0,0.003
31550,03/03/2015,7.45,16.4,6.45,92,41,2,0,0.007
22950,01/06/2015,7.26,15.4,6.4,90,43,2.14,0,0.005
52050,02/23/2015,7.46,,,92,38,2.12,0,0.005
39650,05/05/2015,7.55,17.2,7.2,113,51,2.03,0,0.004
31650,04/07/2015,7.48,17.5,7.16,102,43,2.03,0,0.004
77750,03/03/2015,7.37,16.1,6.72,90,37,2.07,0,0.005
46250,06/02/2015,7.17,15.6,6.71,100,59,2.23,0,0.005
33950,02/04/2015,7.22,16.3,6.15,92,39,2,0,0.004
20150,06/02/2015,7.28,15.6,6.59,98,58,2.03,0,0.005
37450,04/07/2015,7.46,17.3,7.22,102,43,2.02,0,0.004
33050,03/03/2015,7.41,16.4,6.49,93,37,2.11,0,0.005
44450,04/07/2015,7.17,16.6,7.28,99,46,2.08,0,0.01
21550,04/07/2015,7.28,16.2,6.92,99,42,2,0,0.006
39950,06/02/2015,7.51,16.4,6.49,101,58,2.01,0,0.006
24350,02/04/2015,7.32,15.6,6.46,90,36,2.06,0,0.006
30550,06/02/2015,7.61,16.7,6.66,103,59,2.11,0,0.007
77750,06/02/2015,7.18,15.9,6.74,102,66,2.12,0,0.007
38250,05/05/2015,7.45,17.2,7.2,114,51,1.96,0,0.006
23450,05/05/2015,7.29,16.8,7.37,114,56,2.11,0,0.006
76150,01/06/2015,7.41,15.2,6.32,89,43,2.02,0,0.01
50250,05/05/2015,7.15,16,7.03,111,51,2.07,0,0.005
53550,03/03/2015,7.36,15.9,6.62,91,38,2.11,0,0.006
33950,05/05/2015,7.55,17.9,7.38,116,52,2.07,0,0.005
31950,04/07/2015,7.25,16.7,7.09,100,42,2.17,0,0.006
40350,06/02/2015,7.56,16.8,6.61,104,57,2.03,0,0.006
47550,01/06/2015,7.35,15.2,6.43,89,43,2.17,8,0.012
47550,04/07/2015,7.27,16.3,6.92,99,43,2.26,0,0.006
31450,03/03/2015,7.46,16.5,6.69,93,37,1.9,0,0.003
79550,03/03/2015,7.45,15.7,6.57,91,37,2.13,0,0.003
10750,04/07/2015,7.14,15.8,6.84,98,40,2.12,0,0.005
16150,06/02/2015,7.25,15.2,6.42,102,57,2.16,0,0.005
31850,05/05/2015,7.5,18,7.42,117,59,2.05,0,0.004
22250,01/06/2015,7.27,15.5,6.53,89,44,2.11,0,0.007
10750,01/06/2015,7.33,15.3,6.42,88,42,2.16,0,0.004
52050,05/05/2015,7.24,16.4,7.13,115,54,2.1,0,0.008
27350,03/03/2015,7.19,15.6,6.58,91,37,2.11,0,0.004
32350,05/05/2015,7.42,17.8,7.4,115,51,2.05,0,0.003
44350,02/04/2015,7.31,15.8,6.1,91,38,2.04,0,0.004
33550,04/07/2015,7.44,17.7,7.36,103,44,2.07,0,0.004
33450,05/05/2015,7.43,17,7.22,115,53,2.04,0,0.008
16150,03/03/2015,7.23,15.5,6.45,90,37,2.16,0,0.003
31050,04/07/2015,7.29,17.1,7.16,100,42,2.03,0,0.005
31850,02/04/2015,7.58,16.5,6.55,92,40,2,0,0.004
46150,01/06/2015,7.33,15,6.48,89,42,2.06,0,0.009
79550,06/02/2015,7.11,15.9,6.64,102,65,2.07,0,0.005
58650,05/05/2015,7.2,16.8,7.28,115,57,2.26,0,0.005
39950,03/03/2015,7.47,16.5,5.92,93,37,2.13,0,0.005
59050,06/02/2015,7.19,14.7,6.46,97,54,2.2,0,0.007
59050,03/03/2015,7.23,15.6,6.42,90,37,2.13,1,0.02
33050,06/02/2015,7.49,16.6,6.55,105,57,1.92,0,0.006
50250,02/23/2015,7.37,,,91,36,2.2,0,0.004
46250,03/03/2015,7.4,16.4,6.61,91,37,2.13,0,0.004
50750,05/05/2015,7.33,17.5,7.82,116,58,2.17,0,0.004
78150,04/07/2015,7.25,15.9,6.9,98,42,2.18,0,0.004
31050,01/06/2015,7.56,16.7,6.45,91,42,2.15,0,0.005
30150,04/07/2015,7.27,17.5,7.08,100,41,2.05,0,0.003
33850,06/02/2015,7.56,16.5,6.58,104,58,2,0,0.006
39650,02/04/2015,7.27,16.6,6.25,91,39,2.04,0,0.002
50850,02/04/2015,7.5,16.1,6.24,92,39,2.24,0,0.003
18650,02/04/2015,7.41,15.4,6.37,87,38,2.17,0,0.004
27350,06/02/2015,7.31,15.5,6.53,102,58,2.31,0,0.008
58650,02/04/2015,7.49,16.3,6.43,92,41,2.14,0,0.004
11750,06/02/2015,7.54,55.7,22.2,415,58,2.36,0,0.005
33550,01/06/2015,7.44,16.8,6.53,91,43,2.08,0,0.004
35750,04/07/2015,7.42,16.9,7.16,100,44,2.07,0,0.006
26850,01/06/2015,7.33,15.5,6.52,90,42,2.26,0,0.006
22250,04/07/2015,7.34,16.6,6.97,101,43,1.98,0,0.007
37450,01/06/2015,7.49,16.2,6.31,91,42,2.11,0,0.005
76150,04/07/2015,7.1,15.7,6.91,97,44,2.16,0,0.005
30550,03/03/2015,7.4,16.8,6.68,92,38,1.89,0,0.003
15150,05/05/2015,7.41,17.3,7.09,115,51,1.89,0,0.005
46150,04/07/2015,7.3,16,7.32,97,42,2.13,0,0.005
31450,06/02/2015,7.68,16.4,6.54,101,56,2.04,0,0.004
37950,05/05/2015,7.46,17.3,7.31,114,51,1.96,0,0.004
26850,04/07/2015,7.44,16.6,7.04,100,43,1.72,0,0.009
36950,03/03/2015,7.41,16.4,6.39,92,39,2.41,0,0.004
32350,02/04/2015,7.54,16.4,6.46,92,37,1.99,0,0.002
35750,01/06/2015,7.49,16.3,6.4,91,42,2.03,0,0.005
51450,01/06/2015,7.45,15.7,6.65,90,44,2.23,0,0.007
57750,07/07/2015,7.37,15.1,6.23,98,63,2.26,0,0.006
78150,07/07/2015,7.19,15.1,6.1,96,63,2.03,0,0.005
22950,07/07/2015,7.38,15.3,6.12,99,62,2.08,0,0.009
10750,07/07/2015,7.35,15,6.15,96,61,2.14,0,0.009
15150,11/04/2015,7.13,20.1,7.89,128,58,2.18,0,0.005
46150,07/07/2015,7.2,15.7,6.38,98,67,2.06,0,0.006
57750,10/07/2015,7.37,16.2,6.09,95,63,2.08,0,0.006
76150,07/07/2015,7.26,15.1,6.18,97,66,2.23,0,0.007
36950,12/01/2015,7.39,16.7,6.37,96,53,1.99,0,0.004
39650,11/04/2015,7.37,16.5,6.2,95,58,2.16,0,0.004
39650,08/04/2015,7.64,16.1,6.02,102,65,2.07,0,0.005
78150,10/07/2015,7.25,15.4,5.98,90,63,2.2,0,0.004
20650,12/01/2015,7.36,16.1,6.32,94,54,2.19,0,0.009
31550,09/02/2015,7.34,53.6,21.9,384,66,2.08,0,0.021
52050,11/04/2015,7.49,16.5,6.57,94,64,2.02,0,0.006
36950,09/02/2015,7.29,17.2,6.48,98,66,1.96,0,0.006
15150,08/04/2015,7.52,16.5,6.02,102,67,2.12,0,0.005
45250,11/04/2015,7.12,15.5,6.23,90,60,2.05,0,0.009
46250,12/01/2015,7.54,16.2,6.58,91,55,2.11,0,0.008
22950,10/07/2015,7.22,15.3,6,92,62,2.19,0,0.013
35750,10/07/2015,7.45,17.1,6,95,62,2.02,0,0.011
79550,12/01/2015,7.34,15.7,6.26,92,54,2.03,0,0.003
33550,07/07/2015,7.62,16.8,6.22,103,62,2.13,0,0.008
46150,10/07/2015,7.31,15.5,6.25,92,64,2.18,0,0.006
