Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
50850,11/06/2019,7.49,15.9,5.64,86,61,2.16,0,0.004
52050,11/06/2019,7.31,15.4,5.54,84,61,2.16,0,0.005
58650,11/06/2019,7.47,16,5.76,86,63,2.17,0,0.006
77650,11/06/2019,7.36,15.2,5.47,85,59,2.12,0,0.013
11750,12/03/2019,7.21,68.9,25.28,424,50,3.16,0,0.004
16150,12/03/2019,7.32,15.2,5.53,87,48,2.17,0,0.005
20150,12/03/2019,7.2,16.2,6.01,94,48,2.2,0,0.008
20650,12/03/2019,7.2,16.4,6.06,93,50,2.12,0,0.005
27350,12/03/2019,7.22,16.9,5.65,90,50,2.22,0,0.005
30550,12/03/2019,7.34,24.5,8,132,50,2.39,0,0.004
31450,12/03/2019,7.48,23.1,7.45,119,48,2.19,0,0.004
31550,12/03/2019,7.41,18.9,6.47,105,48,2.15,0,0.005
33050,12/03/2019,7.5,24.4,7.76,133,48,2.2,0,0.007
33850,12/03/2019,7.37,27.4,8.65,151,48,2.03,0,0.005
36950,12/03/2019,7.48,23.7,7.42,124,46,2.35,0,0.003
39950,12/03/2019,7.48,24.2,7.74,130,48,2.17,0,0.006
40350,12/03/2019,7.18,19.6,6.9,114,48,1.82,0,0.006
46250,12/03/2019,7.41,17.2,6.12,93,50,2.14,0,0.005
47650,12/03/2019,7.39,18.4,6.8,101,52,2.19,0,0.004
53550,12/03/2019,7.29,16.5,5.84,91,50,2.09,0,0.006
59050,12/03/2019,7.27,15.3,5.51,87,48,2.17,0,0.015
77750,12/03/2019,7.46,17.3,6.31,96,52,2.06,0,0.005
79550,12/03/2019,7.4,15.2,5.48,87,48,2.14,0,0.008
10750,01/07/2020,7.31,22.1,7.57,127,43,2.09,0,0.003
21550,01/07/2020,7.36,22.1,7.53,126,45,2.03,0,0.005
22250,01/07/2020,7.37,22.3,7.44,127,46,2.23,0,0.006
22950,01/07/2020,7.34,21.8,7.32,125,45,2.09,0,0.004
26850,01/07/2020,7.42,22.1,7.68,126,45,2.27,0,0.004
30150,01/07/2020,7.49,23,7.44,126,43,2.11,0,0.003
31050,01/07/2020,7.47,22.9,7.51,127,43,2.15,0,0.005
31650,01/07/2020,7.47,22.5,7.48,127,43,2.04,0,0.004
31950,01/07/2020,7.47,22.7,7.61,128,43,2.03,0,0.004
33550,01/07/2020,7.44,22.6,7.32,128,43,2.18,0,0.004
35750,01/07/2020,7.45,22.6,7.44,128,43,2.09,0,0.005
37450,01/07/2020,7.48,22.7,7.43,126,43,2.16,0,0.004
44450,01/07/2020,7.14,22.2,7.59,126,45,2.15,0,0.004
46150,01/07/2020,7.4,22.2,7.44,125,45,2.17,0,0.005
47550,01/07/2020,7.32,22.2,7.46,125,45,2.17,0,0.007
51450,01/07/2020,7.35,22.3,7.58,128,43,2.19,0,0.005
57750,01/07/2020,7.34,22.4,7.7,128,43,2.21,0,0.004
76150,01/07/2020,7.32,22.1,7.4,126,43,2.21,0,0.004
78150,01/07/2020,7.24,22,7.55,125,43,2.15,0,0.006
15150,02/04/2020,7.39,24,8.08,139,39,1.98,0,0.004
18650,02/04/2020,7.23,23.6,8.3,139,43,2.03,0,0.004
23450,02/04/2020,7.23,23.6,8.05,139,43,2.16,0,0.005
24350,02/04/2020,7.23,23.1,8.31,139,43,2.1,0,0.004
31750,02/04/2020,7.46,23.9,8.16,139,43,2.11,0,0.005
31850,02/04/2020,7.45,24,8.03,139,45,2.07,0,0.005
32350,02/04/2020,7.46,23.7,8.03,139,43,2.06,0,0.005
33450,02/04/2020,7.37,24.2,7.95,140,41,2.06,0,0.005
33950,02/04/2020,7.37,24.2,7.9,140,41,2.06,0,0.004
37950,02/04/2020,7.45,24.1,7.96,139,43,2.07,0,0.003
38250,02/04/2020,7.32,23.9,8.14,138,41,2.07,0,0.005
39650,02/04/2020,7.37,24.1,7.98,138,43,2.06,0,0.003
44350,02/04/2020,7.36,23.4,7.7,135,41,2.18,0,0.005
45250,02/04/2020,7.24,23.2,8.11,138,41,2.14,0,0.006
50250,02/04/2020,7.2,23.1,8.03,139,43,2.15,0,0.005
50750,02/04/2020,7.45,23.6,8.51,136,45,2.11,0,0.003
50850,02/04/2020,7.31,23.6,8.23,136,45,2.17,0,0.004
52050,02/04/2020,7.25,23.1,8.14,139,46,2.08,0,0.005
58650,02/04/2020,7.48,26,9.2,144,46,2.16,0,0.004
77650,02/04/2020,7.29,23.4,8.01,138,41,2.14,0,0.009
11750,03/03/2020,7.41,19.2,6.85,116,45,2.98,0,0.003
16150,03/03/2020,7.2,18.3,6.87,112,41,2.15,0,0.004
20150,03/03/2020,7.36,18.7,6.92,115,43,2.05,0,0.005
20650,03/03/2020,7.32,18.8,7.09,116,45,2.14,0,0.004
27350,03/03/2020,7.31,18.4,6.76,113,41,2.22,0,0.004
30550,03/03/2020,7.46,19.5,6.86,115,43,2.18,0,0.004
31450,03/03/2020,7.42,19.3,6.94,114,41,2.34,0,0.003
31550,03/03/2020,7.52,,6.83,114,41,2.39,0,0.004
33050,03/03/2020,7.48,19.6,6.86,113,41,1.99,0,0.005
33850,03/03/2020,7.39,19.5,6.88,115,41,2.06,0,0.004
36950,03/03/2020,7.38,19,6.77,113,41,2.1,0,0.003
39950,03/03/2020,7.38,19.4,6.83,111,41,2.1,0,0.004
40350,03/03/2020,7.31,18.1,6.66,112,43,2.04,0,0.005
46250,03/03/2020,7.28,19,7.21,113,45,2.24,0,0.005
47650,03/03/2020,7.41,18.8,7.09,109,46,2.09,0,0.004
53550,03/03/2020,7.32,18.7,6.76,114,43,2.22,0,0.005
59050,03/03/2020,7.21,18.5,6.67,113,41,2.24,0,0.005
77750,03/03/2020,7.23,18.7,7.01,112,46,2.02,0,0.006
79550,03/03/2020,7.22,18.5,6.93,114,45,2.07,0,0.005
10750,04/07/2020,7.23,15.8,6.18,99,48,2.06,0,0.004
21550,04/07/2020,7.3,16.6,6.34,102,48,2.22,0,0.006
22250,04/07/2020,7.36,16.7,6.4,101,48,2.04,0,0.005
22950,04/07/2020,7.26,16.3,6.26,103,46,2.15,0,0.006
26850,04/07/2020,7.37,16.9,6.42,103,46,2.07,0,0.004
30150,04/07/2020,7.34,17.5,6.33,104,46,2.11,0,0.003
31050,04/07/2020,7.47,17.9,6.38,106,46,2.16,0,0.005
31650,04/07/2020,7.45,17.8,6.39,105,48,2.12,0,0.003
31950,04/07/2020,7.44,17.3,6.39,103,46,2.23,0,0.005
33550,04/07/2020,7.4,17.3,6.33,104,48,2.11,0,0.003
35750,04/07/2020,7.43,17.3,6.28,102,46,2.11,0,0.005
37450,04/07/2020,7.48,17.3,6.32,102,48,2.02,0,0.004
44450,04/07/2020,7.19,16.6,6.49,100,52,2.23,0,0.005
46150,04/07/2020,7.28,17.2,6.72,103,52,2.05,0,0.005
47550,04/07/2020,7.3,17.1,6.78,103,54,2.12,0,0.007
51450,04/07/2020,7.29,16.3,6.31,101,46,2.13,0,0.006
57750,04/07/2020,7.31,16.5,6.46,101,48,2.18,0,0.004
76150,04/07/2020,7.37,15.9,6.26,100,50,2.15,0,0.004
78150,04/07/2020,7.2,16.1,6.35,101,50,2.07,0,0.008
15150,05/05/2020,7.45,16.2,5.88,102,50,2.08,0,0.004
18650,05/05/2020,7.26,15.2,6.05,100,52,2.18,0,0.006
23450,05/05/2020,7.3,15.6,6.18,99,54,2.15,0,0.005
24350,05/05/2020,7.26,15.5,6.05,100,50,2.08,0,0.006
31750,05/05/2020,7.57,16.5,5.97,103,54,2.06,0,0.006
31850,05/05/2020,7.38,16.6,6.04,103,57,2.09,0,0.007
32350,05/05/2020,7.52,16.3,5.91,102,52,2.1,0,0.007
33450,05/05/2020,7.43,16.3,5.96,103,50,2.11,0,0.006
33950,05/05/2020,7.45,16.3,6.04,102,52,2.05,0,0.005
37950,05/05/2020,7.55,16.4,5.66,103,54,2.07,0,0.005
38250,05/05/2020,7.42,16.2,5.94,101,50,2.02,0,0.006
39650,05/05/2020,7.44,16.4,6.03,103,52,2.09,0,0.004
44350,05/05/2020,7.34,16.1,5.91,100,50,2.05,0,0.006
45250,05/05/2020,7.24,15.5,6.15,100,54,2.11,0,0.008
50250,05/05/2020,7.36,15.3,6.04,101,50,2.14,0,0.007
50750,05/05/2020,7.38,15.9,6.37,101,55,1.99,0,0.008
50850,05/05/2020,7.41,16.1,6.29,101,55,2.06,0,0.005
52050,05/05/2020,7.31,15.8,6.36,101,55,2.06,0,0.009
58650,05/05/2020,7.33,16,6.33,101,54,2.13,0,0.006
77650,05/05/2020,7.27,15.4,6.16,99,54,2.19,0,0.012
11750,06/02/2020,7.31,15.9,5.79,99,61,2.12,2,0.007
16150,06/02/2020,7.37,14.6,5.33,91,59,2.09,0,0.004
20150,06/02/2020,7.42,15.2,5.33,95,61,2.11,0,0.006
20650,06/02/2020,7.34,15.6,5.49,95,61,2.11,0,0.005
27350,06/02/2020,7.4,15.2,5.28,95,61,2.07,0,0.005
30550,06/02/2020,7.56,16.8,5.86,100,66,2.14,0,0.004
31450,06/02/2020,7.41,16.5,5.6,100,59,2.02,0,0.004
31550,06/02/2020,7.53,16,5.36,97,57,2.08,0,0.005
33050,06/02/2020,7.44,16,5.45,97,59,2.21,0,0.006
33850,06/02/2020,7.42,16.1,5.42,98,59,2.13,0,0.006
36950,06/02/2020,7.44,16.1,5.41,98,57,2.1,0,0.003
39950,06/02/2020,7.4,15.8,5.58,97,59,2.12,0,0.006
40350,06/02/2020,7.37,15,5.25,93,59,2.08,0,0.007
46250,06/02/2020,7.5,15.2,,94,59,2.17,0,0.006
47650,06/02/2020,7.56,16.6,5.9,100,63,2.11,0,0.005
53550,06/02/2020,7.35,15,5.39,95,59,2.13,0,0.007
59050,06/02/2020,7.38,14.8,5.16,93,57,2.14,0,0.006
77750,06/02/2020,7.32,15.1,5.48,94,68,2.17,0,0.007
79550,06/02/2020,7.39,14.8,5.23,93,63,2.12,0,0.008
11750,06/10/2020,7.42,,5.51,95,63,2.21,0,0.007
10750,07/07/2020,7.41,14.2,4.96,82,66,2.08,0,0.005
21550,07/07/2020,7.27,14.9,5.09,86,66,2.18,0,0.008
22250,07/07/2020,7.55,15.3,5.08,85,70,2.21,0,0.005
22950,07/07/2020,7.16,14.5,4.91,84,66,2.07,0,0.007
26850,07/07/2020,7.48,15,5.03,84,68,2.12,0,0.005
30150,07/07/2020,7.54,18.4,6.89,102,72,1.94,0,0.007
31050,07/07/2020,7.83,16,4.75,86,66,2.08,0,0.005
31650,07/07/2020,7.75,15.9,4.84,85,68,2.15,0,0.004
31950,07/07/2020,7.77,16.1,5.07,86,66,2.37,0,0.006
33550,07/07/2020,7.76,16.3,4.97,87,70,2.12,0,0.004
35750,07/07/2020,7.74,16,5.12,85,68,2.01,0,0.006
37450,07/07/2020,7.75,16.2,5.16,86,68,2.08,0,0.005
44450,07/07/2020,7.35,15,5.01,83,72,2.12,0,0.008
46150,07/07/2020,7.63,15.5,5.52,85,70,2.05,0,0.004
47550,07/07/2020,7.45,15,5.25,83,70,2.08,0,0.007
51450,07/07/2020,7.4,14.7,4.94,84,66,2.22,0,0.007
57750,07/07/2020,7.46,15,5.11,85,70,2.13,0,0.005
76150,07/07/2020,7.31,14.3,4.99,82,68,2.06,0,0.006
78150,07/07/2020,7.37,14.6,5.11,82,68,2.11,0,0.007
15150,08/04/2020,7.44,16.4,5.06,88,70,2.25,0,0.005
18650,08/04/2020,7.41,15.7,5.01,84,73,2.06,0,0.005
23450,08/04/2020,7.37,16.4,5.05,86,75,2.07,0,0.007
24350,08/04/2020,7.45,15.8,5.07,86,72,2.08,0,0.007
31750,08/04/2020,7.53,16.6,5.18,87,73,2.07,0,0.007
31850,08/04/2020,7.68,17,5.05,86,75,2.15,0,0.005
32350,08/04/2020,7.48,16.7,5.16,88,72,2.07,0,0.007
33450,08/04/2020,7.55,17,4.91,87,72,2.03,0,0.005
33950,08/04/2020,7.53,16.7,4.9,87,73,2.04,0,0.005
37950,08/04/2020,7.53,17.1,5.13,89,73,1.99,0,0.006
38250,08/04/2020,7.6,16.8,5.05,86,70,2.17,0,0.003
39650,08/04/2020,7.57,17,5.03,86,70,2.24,0,0.003
44350,08/04/2020,7.39,16.5,5.07,86,73,2.03,0,0.006
45250,08/04/2020,7.35,16.1,5.28,84,72,2.12,0,0.005
50250,08/04/2020,7.57,16,5.02,86,72,2.25,0,0.006
50750,08/04/2020,7.57,17.2,5.84,89,77,2.1,0,0.005
50850,08/04/2020,7.49,16.4,5.35,86,75,2.2,0,0.006
52050,08/04/2020,7.53,16.8,5.59,88,79,2.13,0,0.006
58650,08/04/2020,7.61,17.7,6.04,90,77,2.07,0,0.004
77650,08/04/2020,7.29,15.8,5.15,84,72,2.18,0,0.009
11750,09/01/2020,7.49,17.3,5.58,88,72,2.1,0,0.005
16150,09/01/2020,7.4,16.2,5.01,85,72,2.08,0,0.006
20150,09/01/2020,7.42,16.6,5.37,88,72,1.98,0,0.007
20650,09/01/2020,7.48,17.1,5.45,88,73,2.1,0,0.006
27350,09/01/2020,7.28,16.2,5.22,86,72,2.02,0,0.007
30550,09/01/2020,7.41,17.7,5.48,91,72,2.12,0,0.006
31450,09/01/2020,7.48,17.9,5.18,89,68,2.09,0,0.004
31550,09/01/2020,7.38,17.5,5.29,89,68,2.08,0,0.006
33050,09/01/2020,7.53,17.3,5.31,89,70,2.09,0,0.007
33850,09/01/2020,7.6,17.3,5.27,90,70,2.11,0,0.006
36950,09/01/2020,7.42,17.7,5.32,88,70,2.1,0,0.009
39950,09/01/2020,7.57,17.3,5.21,89,70,2.05,0,0.007
40350,09/01/2020,7.47,16.6,5.19,86,70,2.08,0,0.007
46250,09/01/2020,7.56,17.4,5.39,87,72,2.05,0,0.005
47650,09/01/2020,7.6,18.7,6.1,96,73,2.06,0,0.004
53550,09/01/2020,7.42,16.6,5.25,87,66,2.05,0,0.008
59050,09/01/2020,7.36,16.4,5.17,86,64,2.32,0,0.006
77750,09/01/2020,7.41,17.3,5.53,88,81,2,0,0.008
79550,09/01/2020,7.45,16.5,5.17,86,73,2.05,0,0.008
10750,10/06/2020,7.32,15.8,5.44,83,64,2.42,0,0.006
21550,10/06/2020,7.35,16.8,5.52,87,66,2.04,0,0.007
22250,10/06/2020,7.29,16.3,5.71,85,66,2.12,0,0.006
22950,10/06/2020,7.27,16.2,5.57,84,66,2.09,0,0.007
26850,10/06/2020,7.38,16.7,5.75,87,66,2.13,0,0.006
30150,10/06/2020,7.66,18.4,5.52,91,64,2.07,0,0.004
31050,10/06/2020,7.68,18.3,5.6,91,64,2.06,0,0.004
31650,10/06/2020,7.62,18.7,5.45,92,66,2.06,0,0.005
31950,10/06/2020,7.64,18.4,5.48,91,64,2.07,0,0.004
33550,10/06/2020,7.66,18.5,5.45,91,66,2.04,0,0.005
35750,10/06/2020,7.55,18.3,5.51,91,66,2.06,0,0.005
37450,10/06/2020,7.63,18.4,5.52,91,66,2.05,0,0.005
44450,10/06/2020,7.3,16.2,5.66,84,68,2.14,0,0.009
46150,10/06/2020,7.35,16.2,5.69,84,66,2.07,0,0.007
47550,10/06/2020,7.38,16.9,5.79,85,66,2.08,0,0.008
51450,10/06/2020,7.34,15.5,5.57,84,61,2.17,0,0.008
57750,10/06/2020,7.34,16.6,5.84,86,63,2.16,0,0.008
76150,10/06/2020,7.27,15.7,5.44,82,66,2.16,0,0.006
78150,10/06/2020,7.34,16,5.42,84,66,2.09,0,0.026
15150,11/04/2020,7.46,18.7,5.68,88,57,2.06,0,0.005
18650,11/04/2020,7.3,17.3,5.94,91,57,2.08,0,0.007
23450,11/04/2020,7.3,17.2,5.8,86,59,2.14,0,0.005
24350,11/04/2020,7.34,16.6,5.74,87,57,2.09,0,0.006
31750,11/04/2020,7.4,47.2,16.9,279,59,1.94,0,0.007
31850,11/04/2020,7.6,18,5.83,92,63,2.08,0,0.006
32350,11/04/2020,7.41,48.6,17,284,59,2.03,0,0.007
33450,11/04/2020,7.36,48.7,16.9,289,59,2.08,0,0.005
33950,11/04/2020,7.34,49.7,17.5,294,59,2.03,0,0.007
37950,11/04/2020,7.46,18,5.7,91,59,2.1,0,0.004
38250,11/04/2020,7.39,17.6,5.62,89,57,2.15,0,0.007
39650,11/04/2020,7.42,18,5.71,90,59,2.13,0,0.004
44350,11/04/2020,7.42,17.5,5.63,89,59,2.07,0,0.006
45250,11/04/2020,7.33,16.8,5.84,87,59,2.06,0,0.007
50250,11/04/2020,7.38,16.6,5.71,87,57,2.14,0,0.006
50750,11/04/2020,7.39,17.6,6.24,89,61,2.16,0,0.004
50850,11/04/2020,7.34,17.4,5.99,88,61,2.12,0,0.005
52050,11/04/2020,7.38,16.9,5.75,88,61,2.06,0,0.005
58650,11/04/2020,7.79,19.7,7.06,93,63,2.1,0,0.004
77650,11/04/2020,7.43,16.9,5.71,87,59,2.08,0,0.009
11750,12/01/2020,7.49,17.5,5.95,89,54,2.27,0,0.005
16150,12/01/2020,7.11,16,5.83,86,54,2.22,0,0.005
20150,12/01/2020,7.38,17.4,5.82,89,54,2.17,0,0.005
20650,12/01/2020,7.35,17.4,5.88,88,54,2.15,0,0.009
27350,12/01/2020,7.28,17.1,5.65,88,52,2.12,0,0.006
30550,12/01/2020,7.44,55.1,19,315,57,2.13,0,0.006
31450,12/01/2020,7.45,56.5,19.5,322,54,2.15,0,0.005
31550,12/01/2020,7.43,38,12.6,208,55,2.05,0,0.006
33050,12/01/2020,7.41,54.2,18.6,312,54,2.07,0,0.007
33850,12/01/2020,7.42,54.9,18.8,313,54,2.01,0,0.007
36950,12/01/2020,7.32,55.5,18.8,315,54,2.16,0,0.005
39950,12/01/2020,7.38,54.8,18.8,313,54,2.13,0,0.009
40350,12/01/2020,7.37,54.2,18.4,309,55,2.18,0,0.007
46250,12/01/2020,7.46,17.5,6.05,88,55,2.12,0,0.006
47650,12/01/2020,7.54,19.1,6.74,94,57,2.07,0,0.004
53550,12/01/2020,7.31,17.3,5.72,88,55,2.16,0,0.006
59050,12/01/2020,7.26,16.8,5.66,86,52,2.22,0,0.006
77750,12/01/2020,7.48,17.4,6.08,88,57,2.08,0,0.006
79550,12/01/2020,7.27,17,5.89,87,55,2.14,0,0.006
