CMWD11CD,CMWD11NM,CMWD11NMW,FID
E36000407,Ross-on-Wye East,,495
E36000756,Lewsey,,496
E36000657,Goodrington-with-Roselands,,497
E36000508,Midsomer Norton Redfield,,498
E36000556,Stoke Bishop,,499
E36000707,Gorse Hill and Pinehurst,,500
E36000460,Burslem Central,,501
E36000408,Ross-on-Wye West,,502
E36000757,Limbury,,503
E36000658,Preston,,504
E36000509,Newbridge,,505
E36000557,Westbury-on-Trym,,506
E36000708,Haydon Wick,,507
E36000461,Burslem Park,,508
E36000409,St Martins and Hinton,,509
E36000758,Northwell,,510
E36000659,Roundham-with-Hyde,,511
E36000510,Odd Down,,512
E36000558,Whitchurch Park,,513
E36000709,Highworth,,514
E36000462,Dresden and Florence,,515
E36000410,St Nicholas,,516
E36000759,Round Green,,517
E36000660,Shiphay-with-the-Willows,,518
E36000511,Oldfield,,519
E36000559,Windmill Hill,,520
E36000710,Moredon,,521
E36000463,Eaton Park,,522
E36000411,Stoney Street,,523
E36000760,Saints,,524
E36000661,St Marychurch,,525
E36000512,Paulton,,526
E36000560,Backwell,,527
E36000711,Old Town and Lawn,,528
E36000464,Etruria and Hanley,,529
E36000412,Sutton Walls,,530
E36000761,South,,531
E36000662,St Mary's-with-Summercombe,,532
E36000513,Peasedown,,533
E36000561,Banwell and Winscombe,,534
E36000712,Parks,,535
E36000465,Fenton East,,536
E36000413,Three Elms,,537
E36000762,Stopsley,,538
E36000663,Tormohun,,539
E36000514,Publow and Whitchurch,,540
E36000562,Blagdon and Churchill,,541
E36000713,Penhill,,542
E36000466,Fenton West and Mount Pleasant,,543
E36000414,Tupsley,,544
E36000763,Sundon Park,,545
E36000664,Watcombe,,546
E36000515,Radstock,,547
E36000563,Clevedon Central,,548
E36000714,Ridgeway,,549
E36000467,Ford Green and Smallthorne,,550
E36000468,Goldenhill and Sandyford,,551
E36000469,Great Chell and Packmoor,,552
E36000470,Hanford and Trentham,,553
E36000471,Hanley Park and Shelton,,554
E36000472,Hartshill and Basford,,555
E36000473,Hollybush and Longton West,,556
E36000474,Joiner's Square,,557
E36000475,Lightwood North and Normacot,,558
E36000476,Little Chell and Stanfield,,559
E36000477,Meir Hay,,560
E36000478,Meir North,,561
E36000479,Meir Park,,562
E36000480,Meir South,,563
E36000481,Moorcroft,,564
E36000482,Penkhull and Stoke,,565
E36000483,Sandford Hill,,566
E36000484,Sneyd Green,,567
E36000485,Springfields and Trent Vale,,568
E36000486,Tunstall,,569
E36000487,Weston Coyney,,570
E36000488,Abbey,,571
E36000489,Bathavon North,,572
E36000490,Bathavon South,,573
E36000491,Bathavon West,,574
E36000492,Bathwick,,575
E36000493,Chew Valley North,,576
E36000494,Chew Valley South,,577
E36000495,Clutton,,578
E36000496,Combe Down,,579
E36000497,Farmborough,,580
E36000498,High Littleton,,581
E36000499,Keynsham East,,582
E36000500,Keynsham North,,583
E36000516,Saltford,,584
E36000564,Clevedon East,,585
E36000764,Wigmore,,586
E36000715,Shaw and Nine Elms,,587
E36000415,Upton,,588
E36000416,Valletts,,589
E36000417,Wormsley Ridge,,590
E36000418,Apley Castle,,591
E36000419,Arleston,,592
E36000420,Brookside,,593
E36000421,Church Aston and Lilleshall,,594
E36000422,College,,595
E36000423,Cuckoo Oak,,596
E36000424,Dawley Magna,,597
E36000425,Donnington,,598
E36000426,Dothill,,599
E36000716,St Margaret,,600
E36000427,Edgmond,,601
E36000717,St Philip,,602
E36000517,Southdown,,603
E36000428,Ercall,,604
E36000665,Wellswood,,605
E36000565,Clevedon North,,606
E36000765,Belfairs,,607
E36000718,Toothill and Westlea,,608
E36000518,Timsbury,,609
E36000429,Ercall Magna,,610
E36000666,Boscombe East,,611
E36000566,Clevedon South,,612
E36000766,Blenheim Park,,613
E36000719,Walcot,,614
E36000519,Twerton,,615
E36000430,Hadley and Leegomery,,616
E36000667,Boscombe West,,617
E36000567,Clevedon Walton,,618
E36000767,Chalkwell,,619
E36000720,Western,,620
E36000520,Walcot,,621
E36000431,Haygate,,622
E36000668,Central,,623
E36000568,Clevedon West,,624
E36000768,Eastwood Park,,625
E36000721,Wroughton and Chiseldon,,626
E36000521,Westfield,,627
E36000432,Horsehay and Lightmoor,,628
E36000669,East Cliff and Springbourne,,629
E36000569,Clevedon Yeo,,630
E36000769,Kursaal,,631
E36000722,Barnack,,632
E36000522,Westmoreland,,633
E36000433,Ironbridge Gorge,,634
E36000670,East Southbourne and Tuckton,,635
E36000570,Congresbury,,636
E36000770,Leigh,,637
E36000723,Bretton North,,638
E36000523,Weston,,639
E36000434,Ketley and Oakengates,,640
E36000671,Kinson North,,641
E36000571,Easton-in-Gordano,,642
E36000771,Milton,,643
E36000724,Bretton South,,644
E36000524,Widcombe,,645
E36000435,Lawley and Overdale,,646
E36000672,Kinson South,,647
E36000572,Gordano,,648
E36000772,Prittlewell,,649
E36000725,Central,,650
E36000525,Ashley,,651
E36000436,Madeley,,652
E36000573,Hutton and Locking,,653
E36000673,Littledown and Iford,,654
E36000674,Moordown,,655
E36000675,Queen's Park,,656
E36000676,Redhill and Northbourne,,657
E36000677,Strouden Park,,658
E36000678,Talbot and Branksome Woods,,659
E36000679,Throop and Muscliff,,660
E36000680,Wallisdown and Winton West,,661
E36000681,West Southbourne,,662
E36000682,Westbourne and West Cliff,,663
E36000683,Winton East,,664
E36000684,Alderney,,665
E36000685,Branksome East,,666
E36000686,Branksome West,,667
E36000687,Broadstone,,668
E36000688,Canford Cliffs,,669
E36000689,Canford Heath East,,670
E36000690,Canford Heath West,,671
E36000691,Creekmoor,,672
E36000692,Hamworthy East,,673
E36000693,Hamworthy West,,674
E36000694,Merley and Bearwood,,675
E36000695,Newtown,,676
E36000696,Oakdale,,677
E36000697,Parkstone,,678
E36000698,Penn Hill,,679
E36000699,Poole Town,,680
E36000700,Abbey Meads,,681
E36000574,Kewstoke,,682
E36000437,Malinslee,,683
E36000526,Avonmouth,,684
E36000773,Shoeburyness,,685
E36000575,Nailsea East,,686
E36000527,Bedminster,,687
E36000438,Muxton,,688
E36000726,Dogsthorpe,,689
E36000727,East,,690
E36000728,Eye and Thorney,,691
E36000729,Fletton and Woodston,,692
E36000730,Glinton and Wittering,,693
E36000731,Newborough,,694
E36000732,North,,695
E36000733,Northborough,,696
E36000734,Orton Longueville,,697
E36000735,Orton Waterville,,698
E36000736,Orton with Hampton,,699
E36000737,Park,,700
E36000738,Paston,,701
E36000739,Ravensthorpe,,702
E36000740,Stanground Central,,703
E36000741,Stanground East,,704
E36000742,Walton,,705
E36000743,Werrington North,,706
E36000744,Werrington South,,707
E36000745,West,,708
E36000746,Barnfield,,709
E36000747,Biscot,,710
E36000748,Bramingham,,711
E36000749,Challney,,712
E36000750,Crawley,,713
E36000774,Southchurch,,714
E36000775,St Laurence,,715
E36000776,St. Luke's,,716
E36000777,Thorpe,,717
E36000778,Victoria,,718
E36000779,West Leigh,,719
E36000780,West Shoebury,,720
E36000781,Westborough,,721
E36000782,Aveley and Uplands,,722
E36000783,Belhus,,723
E36000784,Chadwell St Mary,,724
E36000785,Chafford and North Stifford,,725
E36000786,Corringham and Fobbing,,726
E36000787,East Tilbury,,727
E36000788,Grays Riverside,,728
E36000789,Grays Thurrock,,729
E36000790,Little Thurrock Blackshots,,730
E36000791,Little Thurrock Rectory,,731
E36000792,Ockendon,,732
E36000793,Orsett,,733
E36000794,South Chafford,,734
E36000795,Stanford East and Corringham Town,,735
E36000796,Stanford-le-Hope West,,736
E36000797,Stifford Clays,,737
E36000798,The Homesteads,,738
E36000799,Tilbury Riverside and Thurrock Park,,739
E36000800,Tilbury St Chads,,740
E36000576,Nailsea North and West,,741
E36000439,Newport East,,742
E36000528,Bishopston,,743
E36000577,Pill,,744
E36000440,Newport North,,745
E36000529,Bishopsworth,,746
E36000578,Portishead Central,,747
E36000441,Newport South,,748
E36000530,Brislington East,,749
E36000579,Portishead Coast,,750
E36000442,Newport West,,751
E36000531,Brislington West,,752
E36000580,Portishead East,,753
E36000581,Portishead Redcliffe Bay,,754
E36000582,Portishead South and North Weston,,755
E36000583,Portishead West,,756
E36000584,Weston-super-Mare Central,,757
E36000585,Weston-super-Mare Clarence and Uphill,,758
E36000586,Weston-super-Mare East,,759
E36000587,Weston-super-Mare Milton and Old Worle,,760
E36000588,Weston-super-Mare North Worle,,761
E36000589,Weston-super-Mare South,,762
