Data for Xe Arc lamp spectrometer
=================================

There are two files for the arc lamp data:
160113_01.asc		Mercury emission lamp spectrum for wavelength calibration.
160113_02.asc		Time profile of arc lamp intensity through the spectrometer
Description of the acquisition parameters and experimental protocol are described below. The bottom on the file provides the approximate wavelength calibration based on 160113_01.asc spectrum.


160113_01.asc
=============
Acquisition parameters:
Spectrometer slit width = 25 micron
CCD camera exposure time = 0.010 s
CCD spectra averaged = 1
CCD temperature = -10 C
This is the wavelength calibration of the Xe arc lamp spectrometer.  Calibration was  based on mercury atomic emission lamp spectrum (file “160113_01.asc”). 
Columns are: Pixel number, intensity (scan 1)
Rows 1-1024 correspond to measurement at different pixels (and wavelengths).

160113_02.asc
=============
Acquisition parameters:
Spectrometer slit width = 25 micron
CCD camera exposure time = 0.010 s
CCD spectra averaged = 500    (=12.6 s per scan)
Total number of recorded spectra = 200
CCD temperature = -10 C
Time profile of the Xe arc lamp intensity transmitted through the cavity. Volumes  of 10, 6, and 2  microlitre biacetyl were injected into the inlet stream at approximately scans 70, 112, and 149. The lamp was blocked from scan 196 to 200.
Columns are: Pixel number, intensities (scan 1, scan 2, scan 3… up to scan 200)
Rows 1-1024 correspond to different pixels (and wavelengths).

Paper figures are based on 160113_02.asc data.
Fig. 1b: shows the intensity at scan 1 and scan 75 plotted against wavelength
Fig. 2b. shows the time profile of the intensity at 400 nm (pixel 721) against scan number (raw data) and data normalised based on the intensity at 215 nm (pixel 1).
Fig. 3b. shows the correlation between the intensity at 215 nm and 400 nm for scans 1-110 and 196-200. The background intensity (scan 200) was subtracted from the intensity at 215 nm. The baseline makes little difference to the intensity at 400 nm and was ignored.  For figure clarity, the 2 subsequent additions of biacetyl were not shown, but including them does not alter the findings of the paper.


WAVELENGTH CALIBRATION
======================
Pixel no.	Wavelength calibration (nm)	
873	437.57
874	437.82
875	438.06
876	438.30
877	438.55
878	438.79
879	439.03
880	439.28
881	439.52
882	439.76
883	440.01
884	440.25
885	440.49
886	440.74
887	440.98
888	441.22
889	441.47
890	441.71
891	441.95
892	442.20
893	442.44
894	442.68
895	442.93
896	443.17
897	443.41
898	443.65
899	443.90
900	444.14
901	444.38
902	444.63
903	444.87
904	445.11
905	445.35
906	445.60
907	445.84
908	446.08
909	446.33
910	446.57
911	446.81
912	447.05
913	447.30
914	447.54
915	447.78
916	448.02
917	448.27
918	448.51
919	448.75
920	448.99
921	449.24
922	449.48
923	449.72
924	449.96
925	450.20
926	450.45
927	450.69
928	450.93
929	451.17
930	451.42
931	451.66
932	451.90
933	452.14
934	452.38
935	452.63
936	452.87
937	453.11
938	453.35
939	453.59
940	453.84
941	454.08
942	454.32
943	454.56
944	454.80
945	455.04
946	455.29
947	455.53
948	455.77
949	456.01
950	456.25
951	456.49
952	456.74
953	456.98
954	457.22
955	457.46
956	457.70
957	457.94
958	458.18
959	458.43
960	458.67
961	458.91
962	459.15
963	459.39
964	459.63
965	459.87
966	460.11
967	460.36
968	460.60
969	460.84
970	461.08
971	461.32
972	461.56
973	461.80
974	462.04
975	462.28
976	462.52
977	462.77
978	463.01
979	463.25
980	463.49
981	463.73
982	463.97
983	464.21
984	464.45
985	464.69
986	464.93
987	465.17
988	465.41
989	465.65
990	465.89
991	466.13
992	466.38
993	466.62
994	466.86
995	467.10
996	467.34
997	467.58
998	467.82
999	468.06
1000	468.30
1001	468.54
1002	468.78
1003	469.02
1004	469.26
1005	469.50
1006	469.74
1007	469.98
1008	470.22
1009	470.46
1010	470.70
1011	470.94
1012	471.18
1013	471.42
1014	471.66
1015	471.90
1016	472.14
1017	472.38
1018	472.62
1019	472.86
1020	473.10
1021	473.34
1022	473.58
1023	473.82
1024	474.06
